"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759806, SEN S/N: 10759806)","Tension, V (LGR S/N: 10759806, SEN S/N: 10759806)"
03/07/16 05:00:00 PM,6.89,1.31697
03/07/16 05:15:00 PM,6.881,1.30678
03/07/16 05:30:00 PM,6.868,1.32567
03/07/16 05:45:00 PM,6.83,1.30644
03/07/16 06:00:00 PM,6.783,1.31342
03/07/16 06:15:00 PM,6.764,1.31464
03/07/16 06:30:00 PM,6.755,1.31533
03/07/16 06:45:00 PM,6.718,1.32242
03/07/16 07:00:00 PM,6.679,1.31685
03/07/16 07:15:00 PM,6.644,1.3188
03/07/16 07:30:00 PM,6.604,1.30457
03/07/16 07:45:00 PM,6.58,1.31445
03/07/16 08:00:00 PM,6.568,1.31521
03/07/16 08:15:00 PM,6.547,1.32612
03/07/16 08:30:00 PM,6.518,1.30068
03/07/16 08:45:00 PM,6.49,1.31762
03/07/16 09:00:00 PM,6.458,1.29328
03/07/16 09:15:00 PM,6.434,1.32883
03/07/16 09:30:00 PM,6.412,1.3011
03/07/16 09:45:00 PM,6.388,1.30617
03/07/16 10:00:00 PM,6.349,1.31163
03/07/16 10:15:00 PM,6.318,1.31121
03/07/16 10:30:00 PM,6.285,1.31331
03/07/16 10:45:00 PM,6.266,1.304
03/07/16 11:00:00 PM,6.244,1.31025
03/07/16 11:15:00 PM,6.22,1.30518
03/07/16 11:30:00 PM,6.194,1.31064
03/07/16 11:45:00 PM,6.169,1.29767
03/08/16 12:00:00 AM,6.142,1.30812
03/08/16 12:15:00 AM,6.116,1.31376
03/08/16 12:30:00 AM,6.097,1.30709
03/08/16 12:45:00 AM,6.073,1.31594
03/08/16 01:00:00 AM,6.054,1.3188
03/08/16 01:15:00 AM,6.027,1.31907
03/08/16 01:30:00 AM,5.997,1.30709
03/08/16 01:45:00 AM,5.958,1.30255
03/08/16 02:00:00 AM,5.918,1.31918
03/08/16 02:15:00 AM,5.886,1.30304
03/08/16 02:30:00 AM,5.859,1.31468
03/08/16 02:45:00 AM,5.837,1.31289
03/08/16 03:00:00 AM,5.818,1.32647
03/08/16 03:15:00 AM,5.8,1.29732
03/08/16 03:30:00 AM,5.787,1.29774
03/08/16 03:45:00 AM,5.77,1.29267
03/08/16 04:00:00 AM,5.762,1.30453
03/08/16 04:15:00 AM,5.759,1.31037
03/08/16 04:30:00 AM,5.757,1.31178
03/08/16 04:45:00 AM,5.754,1.30705
03/08/16 05:00:00 AM,5.752,1.3024
03/08/16 05:15:00 AM,5.754,1.30381
03/08/16 05:30:00 AM,5.755,1.31041
03/08/16 05:45:00 AM,5.757,1.30205
03/08/16 06:00:00 AM,5.76,1.31445
03/08/16 06:15:00 AM,5.762,1.31327
03/08/16 06:30:00 AM,5.762,1.30644
03/08/16 06:45:00 AM,5.762,1.29988
03/08/16 07:00:00 AM,5.762,1.30877
03/08/16 07:15:00 AM,5.762,1.32082
03/08/16 07:30:00 AM,5.762,1.30613
03/08/16 07:45:00 AM,5.754,1.30724
03/08/16 08:00:00 AM,5.759,1.31441
03/08/16 08:15:00 AM,5.763,1.31086
03/08/16 08:30:00 AM,5.776,1.31247
03/08/16 08:45:00 AM,5.794,1.31292
03/08/16 09:00:00 AM,5.813,1.31235
03/08/16 09:15:00 AM,5.837,1.31655
03/08/16 09:30:00 AM,5.874,1.30423
03/08/16 09:45:00 AM,5.92,1.31285
03/08/16 10:00:00 AM,5.973,1.31136
03/08/16 10:15:00 AM,6.03,1.31403
03/08/16 10:30:00 AM,6.091,1.3167
03/08/16 10:45:00 AM,6.145,1.30129
03/08/16 11:00:00 AM,6.218,1.31449
03/08/16 11:15:00 AM,6.275,1.32231
03/08/16 11:30:00 AM,6.384,1.3003
03/08/16 11:45:00 AM,6.458,1.30991
03/08/16 12:00:00 PM,6.596,1.31167
03/08/16 12:15:00 PM,6.604,1.30915
03/08/16 12:30:00 PM,6.626,1.30972
03/08/16 12:45:00 PM,6.636,1.31647
03/08/16 01:00:00 PM,6.679,1.31514
03/08/16 01:15:00 PM,6.792,1.31586
03/08/16 01:30:00 PM,6.875,1.30106
03/08/16 01:45:00 PM,6.969,1.31071
03/08/16 02:00:00 PM,7.02,1.30613
03/08/16 02:15:00 PM,7.04,1.30976
03/08/16 02:30:00 PM,7.07,1.32895
03/08/16 02:45:00 PM,7.132,1.31247
03/08/16 03:00:00 PM,7.203,1.3167
03/08/16 03:15:00 PM,7.264,1.30034
03/08/16 03:30:00 PM,7.296,1.3188
03/08/16 03:45:00 PM,7.308,1.30041
03/08/16 04:00:00 PM,7.31,1.30854
03/08/16 04:15:00 PM,7.327,1.31445
03/08/16 04:30:00 PM,7.352,1.31132
03/08/16 04:45:00 PM,7.393,1.30335
03/08/16 05:00:00 PM,7.415,1.31861
03/08/16 05:15:00 PM,7.432,1.32197
03/08/16 05:30:00 PM,7.454,1.30804
03/08/16 05:45:00 PM,7.464,1.31533
03/08/16 06:00:00 PM,7.456,1.3056
03/08/16 06:15:00 PM,7.442,1.32025
03/08/16 06:30:00 PM,7.426,1.31628
03/08/16 06:45:00 PM,7.407,1.31373
03/08/16 07:00:00 PM,7.39,1.31792
03/08/16 07:15:00 PM,7.371,1.32441
03/08/16 07:30:00 PM,7.363,1.3072
03/08/16 07:45:00 PM,7.352,1.31926
03/08/16 08:00:00 PM,7.33,1.30453
03/08/16 08:15:00 PM,7.307,1.31296
03/08/16 08:30:00 PM,7.288,1.32029
03/08/16 08:45:00 PM,7.266,1.3201
03/08/16 09:00:00 PM,7.252,1.31563
03/08/16 09:15:00 PM,7.239,1.30758
03/08/16 09:30:00 PM,7.228,1.31292
03/08/16 09:45:00 PM,7.22,1.31296
03/08/16 10:00:00 PM,7.206,1.31163
03/08/16 10:15:00 PM,7.185,1.3275
03/08/16 10:30:00 PM,7.157,1.33261
03/08/16 10:45:00 PM,7.118,1.31037
03/08/16 11:00:00 PM,7.078,1.31998
03/08/16 11:15:00 PM,7.045,1.30354
03/08/16 11:30:00 PM,7.007,1.30861
03/08/16 11:45:00 PM,6.973,1.31113
03/09/16 12:00:00 AM,6.93,1.31178
03/09/16 12:15:00 AM,6.892,1.32017
03/09/16 12:30:00 AM,6.854,1.32044
03/09/16 12:45:00 AM,6.808,1.30529
03/09/16 01:00:00 AM,6.762,1.31205
03/09/16 01:15:00 AM,6.718,1.32265
03/09/16 01:30:00 AM,6.672,1.3217
03/09/16 01:45:00 AM,6.625,1.33566
03/09/16 02:00:00 AM,6.588,1.29805
03/09/16 02:15:00 AM,6.55,1.3175
03/09/16 02:30:00 AM,6.512,1.30327
03/09/16 02:45:00 AM,6.479,1.31609
03/09/16 03:00:00 AM,6.444,1.31098
03/09/16 03:15:00 AM,6.411,1.3159
03/09/16 03:30:00 AM,6.385,1.3143
03/09/16 03:45:00 AM,6.357,1.31395
03/09/16 04:00:00 AM,6.328,1.31807
03/09/16 04:15:00 AM,6.302,1.30652
03/09/16 04:30:00 AM,6.28,1.29892
03/09/16 04:45:00 AM,6.247,1.30976
03/09/16 05:00:00 AM,6.217,1.30747
03/09/16 05:15:00 AM,6.183,1.31304
03/09/16 05:30:00 AM,6.153,1.30022
03/09/16 05:45:00 AM,6.123,1.31609
03/09/16 06:00:00 AM,6.096,1.32025
03/09/16 06:15:00 AM,6.06,1.31559
03/09/16 06:30:00 AM,6.03,1.30507
03/09/16 06:45:00 AM,6.001,1.29988
03/09/16 07:00:00 AM,5.971,1.31498
03/09/16 07:15:00 AM,5.946,1.31636
03/09/16 07:30:00 AM,5.926,1.3154
03/09/16 07:45:00 AM,5.909,1.32509
03/09/16 08:00:00 AM,5.902,1.30224
03/09/16 08:15:00 AM,5.899,1.31456
03/09/16 08:30:00 AM,5.899,1.3051
03/09/16 08:45:00 AM,5.899,1.30869
03/09/16 09:00:00 AM,5.901,1.30827
03/09/16 09:15:00 AM,5.904,1.31533
03/09/16 09:30:00 AM,5.907,1.3106
03/09/16 09:45:00 AM,5.918,1.3246
03/09/16 10:00:00 AM,5.922,1.32555
03/09/16 10:15:00 AM,5.93,1.31121
03/09/16 10:30:00 AM,5.933,1.31167
03/09/16 10:45:00 AM,5.942,1.31231
03/09/16 11:00:00 AM,5.947,1.3098
03/09/16 11:15:00 AM,5.949,1.30835
03/09/16 11:30:00 AM,5.942,1.3193
03/09/16 11:45:00 AM,5.952,1.3175
03/09/16 12:00:00 PM,5.958,1.30167
