"Date Heure, GMT+01:00","Temp., °C (SEN S/N: 21065779, LBL: Triv)","Tension, V (SEN S/N: 21065779, LBL: U)"
05/18/17 12:00:00,2.49996,19.961
05/18/17 12:15:00,1.52277,14.931
05/18/17 12:30:00,1.98550,14.921
05/18/17 12:45:00,2.49996,14.913
05/18/17 13:00:00,2.49996,14.922
05/18/17 13:15:00,2.49996,14.934
05/18/17 13:30:00,2.49996,14.940
05/18/17 13:45:00,2.49996,14.954
05/18/17 14:00:00,2.49996,14.922
05/18/17 14:15:00,2.49996,15.031
05/18/17 14:30:00,2.49996,15.093
05/18/17 14:45:00,2.49996,15.109
05/18/17 15:00:00,2.49603,15.160
05/18/17 15:15:00,2.47024,15.221
05/18/17 15:30:00,2.44068,15.290
05/18/17 15:45:00,2.41684,15.343
05/18/17 16:00:00,2.39536,15.417
05/18/17 16:15:00,2.37469,15.494
05/18/17 16:30:00,2.35546,15.558
05/18/17 16:45:00,2.32429,15.603
05/18/17 17:00:00,2.30510,15.655
05/18/17 17:15:00,2.28767,15.699
05/18/17 17:30:00,2.27180,15.779
05/18/17 17:45:00,2.25273,15.821
05/18/17 18:00:00,2.23667,15.837
05/18/17 18:15:00,2.21424,15.840
05/18/17 18:30:00,2.19551,15.870
05/18/17 18:45:00,2.17990,15.876
05/18/17 19:00:00,2.15675,15.894
05/18/17 19:15:00,2.26204,15.924
05/18/17 19:30:00,2.23457,16.734
05/18/17 19:45:00,2.14038,16.088
05/18/17 20:00:00,2.10689,15.661
05/18/17 20:15:00,2.07397,15.621
05/18/17 20:30:00,2.04490,15.548
05/18/17 20:45:00,2.01476,15.457
05/18/17 21:00:00,1.99809,15.378
05/18/17 21:15:00,1.97440,15.291
05/18/17 21:30:00,1.94659,15.205
05/18/17 21:45:00,1.92622,15.127
05/18/17 22:00:00,1.90692,15.069
05/18/17 22:15:00,1.88861,15.018
05/18/17 22:30:00,1.87499,14.973
05/18/17 22:45:00,1.85801,14.919
05/18/17 23:00:00,1.83989,14.865
05/18/17 23:15:00,1.82258,14.797
05/18/17 23:30:00,1.80140,14.716
05/18/17 23:45:00,1.77966,14.631
05/19/17 00:00:00,1.76005,14.538
05/19/17 00:15:00,1.74189,14.454
05/19/17 00:30:00,1.71870,14.358
05/19/17 00:45:00,1.69574,14.246
05/19/17 01:00:00,1.68322,14.162
05/19/17 01:15:00,1.66133,14.090
05/19/17 01:30:00,1.64469,14.033
05/19/17 01:45:00,1.62978,13.966
05/19/17 02:00:00,1.61715,13.948
05/19/17 02:15:00,1.60658,13.916
05/19/17 02:30:00,1.59262,13.871
05/19/17 02:45:00,1.57622,13.826
05/19/17 03:00:00,1.56119,13.757
05/19/17 03:15:00,1.54520,13.681
05/19/17 03:30:00,1.53067,13.608
05/19/17 03:45:00,1.51175,13.535
05/19/17 04:00:00,1.49638,13.460
05/19/17 04:15:00,1.48180,13.386
05/19/17 04:30:00,1.46693,13.320
05/19/17 04:45:00,1.45609,13.254
05/19/17 05:00:00,1.44263,13.204
05/19/17 05:15:00,1.43301,13.157
05/19/17 05:30:00,1.41535,13.120
05/19/17 05:45:00,1.40963,13.072
05/19/17 06:00:00,1.39860,13.028
05/19/17 06:15:00,1.38434,12.971
05/19/17 06:30:00,1.37472,12.925
05/19/17 06:45:00,1.36763,12.880
05/19/17 07:00:00,1.35573,12.835
05/19/17 07:15:00,1.34890,12.799
05/19/17 07:30:00,1.34272,12.775
05/19/17 07:45:00,1.33845,12.743
05/19/17 08:00:00,1.32853,12.726
05/19/17 08:15:00,1.32349,12.696
05/19/17 08:30:00,1.31666,12.657
05/19/17 08:45:00,1.31369,12.660
05/19/17 09:00:00,1.30877,12.669
05/19/17 09:15:00,1.30144,12.636
05/19/17 09:30:00,1.29614,12.601
05/19/17 09:45:00,1.29175,12.595
05/19/17 10:00:00,1.28893,12.609
05/19/17 10:15:00,1.29099,12.639
05/19/17 10:30:00,1.29168,12.695
05/19/17 10:45:00,1.29427,12.723
05/19/17 11:00:00,1.29225,12.716
05/19/17 11:15:00,1.28943,12.698
05/19/17 11:30:00,1.28733,12.690
05/19/17 11:45:00,1.28630,12.690
05/19/17 12:00:00,1.28138,12.695
05/19/17 12:15:00,1.28122,12.710
05/19/17 12:30:00,1.28332,12.752
05/19/17 12:45:00,1.28752,12.803
05/19/17 13:00:00,1.29477,12.880
05/19/17 13:15:00,1.30079,12.965
05/19/17 13:30:00,1.30690,13.026
05/19/17 13:45:00,1.30865,13.075
05/19/17 14:00:00,1.31537,13.117
05/19/17 14:15:00,1.32052,13.174
05/19/17 14:30:00,1.31792,13.216
05/19/17 14:45:00,1.31880,13.255
05/19/17 15:00:00,1.31922,13.287
05/19/17 15:15:00,1.31880,13.312
05/19/17 15:30:00,1.32128,13.356
05/19/17 15:45:00,1.32376,13.401
05/19/17 16:00:00,1.32570,13.440
05/19/17 16:15:00,1.33516,13.539
05/19/17 16:30:00,1.34283,13.571
05/19/17 16:45:00,1.34176,13.631
05/19/17 17:00:00,1.34737,13.638
05/19/17 17:15:00,1.33845,13.651
05/19/17 17:30:00,1.32940,13.623
05/19/17 17:45:00,1.32822,13.637
05/19/17 18:00:00,1.32856,13.651
05/19/17 18:15:00,1.32235,13.657
05/19/17 18:30:00,1.32399,13.684
05/19/17 18:45:00,1.32448,13.712
05/19/17 19:00:00,1.32536,13.733
05/19/17 19:15:00,1.32326,13.730
05/19/17 19:30:00,1.32227,13.721
05/19/17 19:45:00,1.31899,13.709
05/19/17 20:00:00,1.31044,13.697
05/19/17 20:15:00,1.30613,13.682
05/19/17 20:30:00,1.30152,13.678
05/19/17 20:45:00,1.29641,13.669
05/19/17 21:00:00,1.29271,13.635
05/19/17 21:15:00,1.28737,13.584
05/19/17 21:30:00,1.27756,13.529
