"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759806, SEN S/N: 10759806)","Tension, V (LGR S/N: 10759806, SEN S/N: 10759806)"
2016/07/03 17:00:00,6.89,1.31697
2016/07/03 17:15:00,6.881,1.3067799999999998
2016/07/03 17:30:00,6.8679999999999986,1.32567
2016/07/03 17:45:00,6.83,1.30644
2016/07/03 18:00:00,6.783,1.31342
2016/07/03 18:15:00,6.7639999999999985,1.31464
2016/07/03 18:30:00,6.755,1.31533
2016/07/03 18:45:00,6.718,1.3224200000000002
2016/07/03 19:00:00,6.6789999999999985,1.31685
2016/07/03 19:15:00,6.644,1.3188
2016/07/03 19:30:00,6.604,1.30457
2016/07/03 19:45:00,6.58,1.31445
2016/07/03 20:00:00,6.568,1.31521
2016/07/03 20:15:00,6.5470000000000015,1.32612
2016/07/03 20:30:00,6.518,1.3006799999999998
2016/07/03 20:45:00,6.49,1.31762
2016/07/03 21:00:00,6.457999999999998,1.29328
2016/07/03 21:15:00,6.434,1.32883
2016/07/03 21:30:00,6.412000000000001,1.3011
2016/07/03 21:45:00,6.388,1.30617
2016/07/03 22:00:00,6.349,1.31163
2016/07/03 22:15:00,6.318,1.31121
2016/07/03 22:30:00,6.285,1.31331
2016/07/03 22:45:00,6.266,1.304
2016/07/03 23:00:00,6.244,1.31025
2016/07/03 23:15:00,6.22,1.30518
2016/07/03 23:30:00,6.194,1.31064
2016/07/03 23:45:00,6.169,1.29767
2016/08/03 00:00:00,6.142,1.3081200000000002
2016/08/03 00:15:00,6.1160000000000005,1.31376
2016/08/03 00:30:00,6.097,1.30709
2016/08/03 00:45:00,6.073,1.31594
2016/08/03 01:00:00,6.0539999999999985,1.3188
2016/08/03 01:15:00,6.027,1.31907
2016/08/03 01:30:00,5.997000000000001,1.30709
2016/08/03 01:45:00,5.957999999999998,1.30255
2016/08/03 02:00:00,5.917999999999998,1.31918
2016/08/03 02:15:00,5.886,1.30304
2016/08/03 02:30:00,5.859,1.3146799999999998
2016/08/03 02:45:00,5.8370000000000015,1.31289
2016/08/03 03:00:00,5.818,1.32647
2016/08/03 03:15:00,5.8,1.29732
2016/08/03 03:30:00,5.787000000000001,1.29774
2016/08/03 03:45:00,5.77,1.29267
2016/08/03 04:00:00,5.7620000000000005,1.30453
2016/08/03 04:15:00,5.759,1.31037
2016/08/03 04:30:00,5.7570000000000014,1.31178
2016/08/03 04:45:00,5.754,1.30705
2016/08/03 05:00:00,5.752000000000002,1.3024
2016/08/03 05:15:00,5.754,1.30381
2016/08/03 05:30:00,5.755,1.31041
2016/08/03 05:45:00,5.7570000000000014,1.30205
2016/08/03 06:00:00,5.76,1.31445
2016/08/03 06:15:00,5.7620000000000005,1.3132700000000002
2016/08/03 06:30:00,5.7620000000000005,1.30644
2016/08/03 06:45:00,5.7620000000000005,1.29988
2016/08/03 07:00:00,5.7620000000000005,1.30877
2016/08/03 07:15:00,5.7620000000000005,1.32082
2016/08/03 07:30:00,5.7620000000000005,1.30613
2016/08/03 07:45:00,5.754,1.30724
2016/08/03 08:00:00,5.759,1.31441
2016/08/03 08:15:00,5.763,1.31086
2016/08/03 08:30:00,5.776,1.31247
2016/08/03 08:45:00,5.794,1.31292
2016/08/03 09:00:00,5.813,1.31235
2016/08/03 09:15:00,5.8370000000000015,1.31655
2016/08/03 09:30:00,5.874,1.30423
2016/08/03 09:45:00,5.92,1.31285
2016/08/03 10:00:00,5.973,1.31136
2016/08/03 10:15:00,6.03,1.31403
