#,Date Heure(GMT+01:00),Température1(°C),Température2(°C),Température3(°C),Température4(°C)
1,05/18/17 12:15:00 PM,519.366,450.33799999999997,810.477,604.8330000000001
2,05/18/17 12:30:00 PM,558.5699999999999,431.12799999999993,577.4559999999999,810.477
3,05/18/17 12:45:00 PM,287.51099999999997,287.272,286.888,286.287
4,05/18/17 01:00:00 PM,287.51099999999997,287.248,286.864,286.287
5,05/18/17 01:15:00 PM,287.51099999999997,287.248,286.864,286.287
6,05/18/17 01:30:00 PM,287.51099999999997,287.248,286.864,286.287
7,05/18/17 01:45:00 PM,287.48699999999997,287.248,286.864,286.287
8,05/18/17 02:00:00 PM,287.48699999999997,287.248,286.864,286.287
9,05/18/17 02:15:00 PM,287.48699999999997,287.248,286.864,286.287
10,05/18/17 02:30:00 PM,287.464,287.224,286.864,286.287
11,05/18/17 02:45:00 PM,287.464,287.224,286.864,286.287
12,05/18/17 03:00:00 PM,287.464,287.2,286.864,286.287
13,05/18/17 03:15:00 PM,287.464,287.2,286.864,286.287
14,05/18/17 03:30:00 PM,287.44,287.2,286.864,286.287
15,05/18/17 03:45:00 PM,287.44,287.2,286.864,286.287
16,05/18/17 04:00:00 PM,287.44,287.2,286.864,286.287
17,05/18/17 04:15:00 PM,287.44,287.2,286.864,286.287
18,05/18/17 04:30:00 PM,287.44,287.2,286.84,286.287
19,05/18/17 04:45:00 PM,287.44,287.2,286.84,286.287
20,05/18/17 05:00:00 PM,287.44,287.176,286.84,286.287
21,05/18/17 05:15:00 PM,287.44,287.2,286.84,286.287
22,05/18/17 05:30:00 PM,287.44,287.2,286.84,286.287
23,05/18/17 05:45:00 PM,287.464,287.176,286.84,286.287
24,05/18/17 06:00:00 PM,287.464,287.176,286.84,286.287
25,05/18/17 06:15:00 PM,287.464,287.2,286.84,286.287
26,05/18/17 06:30:00 PM,287.464,287.176,286.84,286.311
27,05/18/17 06:45:00 PM,287.48699999999997,287.2,286.84,286.311
28,05/18/17 07:00:00 PM,287.48699999999997,287.176,286.84,286.311
29,05/18/17 07:15:00 PM,287.51099999999997,287.2,286.84,286.311
30,05/18/17 07:30:00 PM,287.53499999999997,287.2,286.84,286.311
31,05/18/17 07:45:00 PM,287.51099999999997,287.2,286.84,286.311
32,05/18/17 08:00:00 PM,287.53499999999997,287.2,286.84,286.311
33,05/18/17 08:15:00 PM,287.55899999999997,287.2,286.84,286.311
34,05/18/17 08:30:00 PM,287.55899999999997,287.2,286.84,286.311
35,05/18/17 08:45:00 PM,287.55899999999997,287.2,286.84,286.311
36,05/18/17 09:00:00 PM,287.55899999999997,287.224,286.84,286.335
37,05/18/17 09:15:00 PM,287.55899999999997,287.224,286.84,286.335
38,05/18/17 09:30:00 PM,287.55899999999997,287.224,286.84,286.335
39,05/18/17 09:45:00 PM,287.55899999999997,287.224,286.84,286.335
40,05/18/17 10:00:00 PM,287.55899999999997,287.224,286.864,286.335
41,05/18/17 10:15:00 PM,287.55899999999997,287.224,286.864,286.335
42,05/18/17 10:30:00 PM,287.55899999999997,287.224,286.864,286.335
43,05/18/17 10:45:00 PM,287.53499999999997,287.224,286.864,286.335
44,05/18/17 11:00:00 PM,287.53499999999997,287.224,286.864,286.335
45,05/18/17 11:15:00 PM,287.51099999999997,287.248,286.864,286.359
46,05/18/17 11:30:00 PM,287.51099999999997,287.224,286.864,286.359
47,05/18/17 11:45:00 PM,287.51099999999997,287.224,286.864,286.359
48,05/19/17 12:00:00 AM,287.48699999999997,287.224,286.864,286.359
49,05/19/17 12:15:00 AM,287.464,287.224,286.864,286.359
50,05/19/17 12:30:00 AM,287.464,287.224,286.864,286.359
51,05/19/17 12:45:00 AM,287.44,287.2,286.864,286.359
