"Date Heure, GMT+01:00",Température (K) pour la profondeur 2.1000 m,Température (K) pour la profondeur 2.1163 m,Température (K) pour la profondeur 2.1327 m,Température (K) pour la profondeur 2.1490 m,Température (K) pour la profondeur 2.1653 m,Température (K) pour la profondeur 2.1816 m,Température (K) pour la profondeur 2.1980 m,Température (K) pour la profondeur 2.2143 m,Température (K) pour la profondeur 2.2306 m,Température (K) pour la profondeur 2.2469 m,Température (K) pour la profondeur 2.2633 m,Température (K) pour la profondeur 2.2796 m,Température (K) pour la profondeur 2.2959 m,Température (K) pour la profondeur 2.3122 m,Température (K) pour la profondeur 2.3286 m,Température (K) pour la profondeur 2.3449 m,Température (K) pour la profondeur 2.3612 m,Température (K) pour la profondeur 2.3776 m,Température (K) pour la profondeur 2.3939 m,Température (K) pour la profondeur 2.4102 m,Température (K) pour la profondeur 2.4265 m,Température (K) pour la profondeur 2.4429 m,Température (K) pour la profondeur 2.4592 m,Température (K) pour la profondeur 2.4755 m,Température (K) pour la profondeur 2.4918 m,Température (K) pour la profondeur 2.5082 m,Température (K) pour la profondeur 2.5245 m,Température (K) pour la profondeur 2.5408 m,Température (K) pour la profondeur 2.5571 m,Température (K) pour la profondeur 2.5735 m,Température (K) pour la profondeur 2.5898 m,Température (K) pour la profondeur 2.6061 m,Température (K) pour la profondeur 2.6224 m,Température (K) pour la profondeur 2.6388 m,Température (K) pour la profondeur 2.6551 m,Température (K) pour la profondeur 2.6714 m,Température (K) pour la profondeur 2.6878 m,Température (K) pour la profondeur 2.7041 m,Température (K) pour la profondeur 2.7204 m,Température (K) pour la profondeur 2.7367 m,Température (K) pour la profondeur 2.7531 m,Température (K) pour la profondeur 2.7694 m,Température (K) pour la profondeur 2.7857 m,Température (K) pour la profondeur 2.8020 m,Température (K) pour la profondeur 2.8184 m,Température (K) pour la profondeur 2.8347 m,Température (K) pour la profondeur 2.8510 m,Température (K) pour la profondeur 2.8673 m,Température (K) pour la profondeur 2.8837 m,Température (K) pour la profondeur 2.9000 m
14/04/21 10:46:36,293.954,293.98837,294.02274,294.0571,294.09146,294.12582,294.16022,294.19458,294.22894,294.2633,294.29767,294.33203,294.3664,294.4008,294.43515,294.4695,294.50388,294.53824,294.5726,294.607,294.64136,294.67572,294.71008,294.74445,294.7788,294.81317,294.84756,294.88193,294.9163,294.95065,294.98502,295.01938,295.05374,295.08813,295.1225,295.15686,295.19122,295.2256,295.25995,295.2943,295.3287,295.36307,295.39743,295.4318,295.46616,295.50052,295.5349,295.56927,295.60364,295.638
14/04/21 11:01:36,293.933,295.47366,293.8704,295.4303,293.80582,295.38174,293.74377,295.3371,293.68246,295.293,293.62292,295.2489,293.56213,295.2067,293.50305,295.16562,293.44388,295.12375,293.38733,295.08502,293.33044,295.04636,293.2754,295.00815,293.2202,294.9711,293.1663,294.9344,293.1129,294.89938,293.0608,294.86536,293.00955,294.83142,292.95874,294.7998,292.9085,294.7691,292.85965,294.73935,292.81183,294.71014,292.76447,294.6823,292.71786,294.65558,292.6722,294.62985,292.62732,294.605
14/04/21 11:16:36,293.885,293.6333,293.9097,293.6548,293.93594,293.67618,293.96356,293.69714,293.9888,293.72202,294.0125,293.7429,294.0365,293.76447,294.0609,293.7835,294.08572,293.8049,294.10947,293.82465,294.13144,293.84485,294.1534,293.86316,294.1758,293.8819,294.19757,293.89996,294.2187,293.9169,294.2398,293.93433,294.2601,293.951,294.2802,293.967,294.29938,293.9822,294.31815,293.99728,294.3366,294.01218,294.3547,294.02667,294.37222,294.04047,294.3892,294.0539,294.40576,294.067
14/04/21 11:31:36,293.782,293.9016,293.77533,293.88785,293.76346,293.88016,293.75537,293.87408,293.74594,293.8655,293.73917,293.8585,293.7297,293.8522,293.7203,293.8453,293.71042,293.83685,293.70233,293.82993,293.69415,293.8222,293.68604,293.81625,293.6767,293.8096,293.66803,293.8018,293.6606,293.79523,293.65323,293.78775,293.6448,293.7818,293.63635,293.7755,293.62878,293.76968,293.62128,293.76407,293.61325,293.75864,293.60577,293.75272,293.59857,293.74692,293.59158,293.7414,293.5846,293.736
14/04/21 11:46:36,293.793,293.4656,293.7972,293.46866,293.8027,293.47595,293.80948,293.4781,293.81503,293.48148,293.81927,293.4843,293.82486,293.48618,293.8311,293.48953,293.83658,293.4924,293.8428,293.4946,293.84842,293.49698,293.85342,293.49893,293.859,293.50122,293.86462,293.5036,293.8696,293.5051,293.87524,293.50705,293.88092,293.50778,293.8866,293.5094,293.89172,293.51096,293.89682,293.51218,293.90195,293.5135,293.90643,293.5145,293.91113,293.51538,293.91583,293.51624,293.92047,293.517
14/04/21 12:01:36,293.724,293.45303,293.72543,293.4472,293.72565,293.4456,293.72458,293.44464,293.72476,293.44232,293.72372,293.44223,293.72266,293.44238,293.7222,293.43948,293.72186,293.43637,293.72275,293.43408,293.72238,293.4309,293.7233,293.42703,293.72427,293.42365,293.72458,293.42096,293.7249,293.41843,293.72528,293.41586,293.72534,293.41348,293.72507,293.41125,293.7251,293.40784,293.7258,293.4055,293.72604,293.40234,293.72684,293.39957,293.72742,293.39682,293.72787,293.394,293.72836,293.391
14/04/21 12:16:36,293.763,293.31052,293.76566,293.31387,293.76706,293.3106,293.77225,293.30902,293.775,293.30917,293.77765,293.30753,293.78165,293.30453,293.7838,293.30048,293.78726,293.29892,293.79007,293.2974,293.79355,293.2941,293.7958,293.2938,293.79803,293.29303,293.80093,293.28958,293.8045,293.2869,293.80807,293.2844,293.81107,293.28192,293.81445,293.27908,293.81784,293.27747,293.82062,293.2751,293.82373,293.2732,293.82666,293.2714,293.8295,293.26886,293.83267,293.267,293.83575,293.265
14/04/21 12:31:36,293.769,293.27277,293.77118,293.26816,293.77213,293.2677,293.77432,293.2671,293.77774,293.2648,293.78,293.264,293.78098,293.2641,293.7832,293.26273,293.78418,293.26193,293.78586,293.26086,293.78876,293.25946,293.7917,293.2549,293.79593,293.2513,293.79895,293.24844,293.8014,293.24536,293.80383,293.2431,293.806,293.2416,293.80817,293.23956,293.81067,293.23663,293.81378,293.23294,293.81668,293.23007,293.81915,293.2265,293.8221,293.2241,293.8246,293.22104,293.82733,293.218
14/04/21 12:46:36,293.842,293.24762,293.84494,293.2489,293.84537,293.24344,293.84958,293.24072,293.85132,293.2387,293.85434,293.23248,293.85867,293.228,293.86243,293.22372,293.8656,293.2198,293.8688,293.2153,293.87204,293.21204,293.87466,293.20844,293.87735,293.20557,293.88065,293.20193,293.88397,293.1993,293.88736,293.19534,293.89102,293.19125,293.89444,293.1879,293.89792,293.18497,293.90115,293.18225,293.90433,293.17874,293.908,293.1757,293.9114,293.1722,293.91516,293.1686,293.9188,293.165
14/04/21 13:01:36,293.184,293.22247,293.18375,293.21622,293.1848,293.21725,293.1846,293.2199,293.18436,293.21857,293.1829,293.22006,293.18265,293.2193,293.18243,293.22073,293.1809,293.22098,293.18127,293.22275,293.18042,293.22302,293.18018,293.2235,293.17993,293.2227,293.18033,293.2225,293.18005,293.22147,293.1798,293.22232,293.17892,293.22293,293.17807,293.22333,293.1775,293.22296,293.17755,293.2226,293.17715,293.2231,293.17645,293.22333,293.17636,293.22348,293.1761,293.22394,293.17575,293.224
