"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 2.1000 m,Flux d'énergie total (W/m2) pour la profondeur 2.1163 m,Flux d'énergie total (W/m2) pour la profondeur 2.1327 m,Flux d'énergie total (W/m2) pour la profondeur 2.1490 m,Flux d'énergie total (W/m2) pour la profondeur 2.1653 m,Flux d'énergie total (W/m2) pour la profondeur 2.1816 m,Flux d'énergie total (W/m2) pour la profondeur 2.1980 m,Flux d'énergie total (W/m2) pour la profondeur 2.2143 m,Flux d'énergie total (W/m2) pour la profondeur 2.2306 m,Flux d'énergie total (W/m2) pour la profondeur 2.2469 m,Flux d'énergie total (W/m2) pour la profondeur 2.2633 m,Flux d'énergie total (W/m2) pour la profondeur 2.2796 m,Flux d'énergie total (W/m2) pour la profondeur 2.2959 m,Flux d'énergie total (W/m2) pour la profondeur 2.3122 m,Flux d'énergie total (W/m2) pour la profondeur 2.3286 m,Flux d'énergie total (W/m2) pour la profondeur 2.3449 m,Flux d'énergie total (W/m2) pour la profondeur 2.3612 m,Flux d'énergie total (W/m2) pour la profondeur 2.3776 m,Flux d'énergie total (W/m2) pour la profondeur 2.3939 m,Flux d'énergie total (W/m2) pour la profondeur 2.4102 m,Flux d'énergie total (W/m2) pour la profondeur 2.4265 m,Flux d'énergie total (W/m2) pour la profondeur 2.4429 m,Flux d'énergie total (W/m2) pour la profondeur 2.4592 m,Flux d'énergie total (W/m2) pour la profondeur 2.4755 m,Flux d'énergie total (W/m2) pour la profondeur 2.4918 m,Flux d'énergie total (W/m2) pour la profondeur 2.5082 m,Flux d'énergie total (W/m2) pour la profondeur 2.5245 m,Flux d'énergie total (W/m2) pour la profondeur 2.5408 m,Flux d'énergie total (W/m2) pour la profondeur 2.5571 m,Flux d'énergie total (W/m2) pour la profondeur 2.5735 m,Flux d'énergie total (W/m2) pour la profondeur 2.5898 m,Flux d'énergie total (W/m2) pour la profondeur 2.6061 m,Flux d'énergie total (W/m2) pour la profondeur 2.6224 m,Flux d'énergie total (W/m2) pour la profondeur 2.6388 m,Flux d'énergie total (W/m2) pour la profondeur 2.6551 m,Flux d'énergie total (W/m2) pour la profondeur 2.6714 m,Flux d'énergie total (W/m2) pour la profondeur 2.6878 m,Flux d'énergie total (W/m2) pour la profondeur 2.7041 m,Flux d'énergie total (W/m2) pour la profondeur 2.7204 m,Flux d'énergie total (W/m2) pour la profondeur 2.7367 m,Flux d'énergie total (W/m2) pour la profondeur 2.7531 m,Flux d'énergie total (W/m2) pour la profondeur 2.7694 m,Flux d'énergie total (W/m2) pour la profondeur 2.7857 m,Flux d'énergie total (W/m2) pour la profondeur 2.8020 m,Flux d'énergie total (W/m2) pour la profondeur 2.8184 m,Flux d'énergie total (W/m2) pour la profondeur 2.8347 m,Flux d'énergie total (W/m2) pour la profondeur 2.8510 m,Flux d'énergie total (W/m2) pour la profondeur 2.8673 m,Flux d'énergie total (W/m2) pour la profondeur 2.8837 m,Flux d'énergie total (W/m2) pour la profondeur 2.9000 m
14/04/21 10:46:36,-1230197528.0509858,-1230341336.33956,-1230485144.6281343,-1230628952.9167085,-1230772761.2052827,-1230916569.4921517,-1231060505.4967904,-1231204313.7870698,-1231348122.075644,-1231491930.3642182,-1231635738.6527925,-1231779546.9413667,-1231923355.2282357,-1232067291.2328744,-1232211099.5231538,-1232354907.811728,-1232498716.1003022,-1232642524.3888764,-1232786332.6757455,-1232930268.6803842,-1233074076.9706635,-1233217885.2592378,-1233361693.547812,-1233505501.8363862,-1233649310.1249604,-1233793118.4118295,-1233937054.4164681,-1234080862.7067475,-1234224670.9953218,-1234368479.283896,-1234512287.5724702,-1234656095.8610444,-1234799904.1479135,-1234943840.1525521,-1235087648.4428315,-1235231456.7314057,-1235375265.01998,-1235519073.3085542,-1235662881.5971284,-1235806689.8839974,-1235950625.888636,-1236094434.1789155,-1236238242.4674897,-1236382050.756064,-1236525859.0446382,-1236669667.3315072,-1236813603.3361459,-1236957411.6264253,-1237101219.9149995,-1237245028.2035737
14/04/21 11:01:36,-1230109658.7643452,-1230277222.3261628,-1230438400.146141,-1230594980.1485815,-1230748111.7882957,-1230898816.8023236,-1231047606.060039,-1231195118.143469,-1231341736.2076275,-1231487587.970284,-1231632928.8652725,-1231777758.8908877,-1231922461.1987336,-1232066780.358386,-1232210971.7985637,-1232355035.520972,-1232499099.2433803,-1232643035.251429,-1232786843.5417085,-1232930651.8319879,-1233074332.4062026,-1233218012.9804175,-1233361565.838568,-1233505118.6984234,-1233648416.127855,-1233791585.8429275,-1233934372.4132166,-1234076775.8336074,-1234218923.8235743,-1234360560.959514,-1234501176.3754635,-1234640642.3519483,-1234778703.465365,-1234914593.4261467,-1235047545.943023,-1235176411.5799387,-1235299785.4704154,-1235415751.8888323,-1235521756.541182,-1235613840.2601583,-1235687149.874529,-1235734788.7764919,-1235747433.7734823,-1235712185.648706,-1235611802.8801005,-1235422402.7665205,-1235111545.6969995,-1234635170.0044231,-1233932738.7840672,-1232921997.966095
14/04/21 11:16:36,-1229908760.3377986,-1230115915.9682617,-1230310044.7033787,-1230493445.229404,-1230668288.7279572,-1230836235.5146976,-1230998945.9086933,-1231157313.930921,-1231312361.3098965,-1231464982.0683017,-1231615431.63997,-1231764476.3246992,-1231912116.1258986,-1232058861.9061217,-1232204841.3865476,-1232350182.2832413,-1232495012.3139718,-1232639331.4753294,-1232783522.9223275,-1232927075.7924137,-1233070245.5108962,-1233213032.0828905,-1233355307.794037,-1233496944.9282718,-1233637815.771235,-1233777664.8959131,-1233915981.4363434,-1234052637.676461,-1234187122.760534,-1234318670.397291,-1234446386.5776908,-1234569249.5834486,-1234685599.1125467,-1234793902.5841475,-1234891605.695718,-1234975770.9914165,-1235042822.4487197,-1235087779.1666908,-1235105149.383545,-1235087781.03889,-1235027244.9099839,-1234913579.1898372,-1234734906.325379,-1234478199.3087244,-1234129281.6686592,-1233674232.3234615,-1233101173.5853577,-1232403208.5669136,-1231584934.63381,-1230670361.1819077
14/04/21 11:31:36,-1229477716.430922,-1229766865.9793763,-1230027662.8684387,-1230265470.7363129,-1230484631.9547658,-1230688594.8762937,-1230880296.9789052,-1231062548.0364785,-1231236752.9410686,-1231404572.0032191,-1231567282.3938046,-1231725778.1286864,-1231881080.941496,-1232033701.7050166,-1232184023.5657358,-1232332685.1090918,-1232479686.3384948,-1232625410.4038427,-1232769729.5924819,-1232912771.6204765,-1233054408.7751722,-1233194513.3370945,-1233333213.0291283,-1233469869.2760663,-1233604226.64578,-1233735646.5647676,-1233863362.738347,-1233986608.8752472,-1234104235.5377083,-1234214965.570201,-1234317266.3935928,-1234408839.125544,-1234487640.320959,-1234550477.0935721,-1234594156.553708,-1234614591.8077655,-1234607057.37159,-1234566700.0534887,-1234487389.5028288,-1234362739.926618,-1234185854.6624923,-1233949964.7607393,-1233648045.8326998,-1233273712.05128,-1232821727.0271435,-1232288003.8138323,-1231669732.6187115,-1230965763.9937916,-1230173543.7081547,-1229285152.047758
14/04/21 11:46:36,-1229523696.4853172,-1229727786.6471868,-1229940050.6201305,-1230153591.9037676,-1230364068.0888176,-1230569307.9612632,-1230768034.3365874,-1230959864.0478415,-1231144924.7974496,-1231323855.1640277,-1231496910.5780005,-1231664857.330639,-1231828334.0073805,-1231987723.7581239,-1232143537.448832,-1232296030.513339,-1232445586.0998378,-1232592459.6455731,-1232736651.15566,-1232878032.914034,-1233016604.9241052,-1233151984.0427957,-1233283787.1253223,-1233411375.5913627,-1233534366.2978392,-1233651737.5264661,-1233762339.8326638,-1233865151.496442,-1233958384.5014243,-1234040378.5438874,-1234108962.460966,-1234161709.6559622,-1234195810.3822775,-1234208327.1806602,-1234195684.0115364,-1234154177.114152,-1234079847.3024447,-1233968096.8015049,-1233814710.9812045,-1233615092.059815,-1233365280.8359256,-1233060934.9599361,-1232698350.6506329,-1232274334.9910555,-1231786333.6428661,-1231232430.8412247,-1230611860.257351,-1229925132.7094612,-1229174930.1428394,-1228368659.376484
14/04/21 12:01:36,-1229234928.4277005,-1229515265.5148487,-1229771209.06217,-1230010038.4999852,-1230236223.9570498,-1230452064.3600354,-1230659220.0331259,-1230858840.4362473,-1231051436.4455934,-1231237263.486473,-1231417343.2891054,-1231591803.578082,-1231761027.4981852,-1231925398.2044291,-1232084787.9773388,-1232239835.3955317,-1232390540.4641228,-1232537158.6186516,-1232679434.4338093,-1232817112.475762,-1232950065.0318553,-1233077781.2429469,-1233199750.2481892,-1233315205.7580156,-1233423126.045616,-1233522617.1036541,-1233612274.063947,-1233690564.3354254,-1233755955.330432,-1233806531.3199353,-1233839865.700416,-1233853915.019958,-1233845869.5319638,-1233813174.9219646,-1233752510.5739899,-1233661194.4489813,-1233536033.652147,-1233373835.2784662,-1233171661.856752,-1232926448.1946359,-1232635767.6749573,-1232297449.1143913,-1231909832.1921644,-1231471639.727169,-1230982743.977766,-1230443783.496994,-1229856673.9934254,-1229224480.623619,-1228551290.286293,-1227841317.175066
14/04/21 12:16:36,-1229398152.2623591,-1229577209.9681745,-1229772487.5152798,-1229975172.7833896,-1230179901.6244774,-1230383353.3731246,-1230583739.975442,-1230779911.969799,-1230971358.4782968,-1231157951.783166,-1231339308.7379174,-1231515173.901898,-1231685802.7038255,-1231851195.1471105,-1232011351.233458,-1232166143.2485085,-1232315443.4744928,-1232459251.9165258,-1232597057.7137601,-1232728605.4306567,-1232853639.641907,-1232971394.0579448,-1233081102.382383,-1233181998.3222454,-1233273060.155837,-1233353010.725923,-1233420572.8735638,-1233474341.7288716,-1233512529.2737637,-1233533219.7672737,-1233534625.1879094,-1233514574.3676903,-1233470896.1352258,-1233401291.6013558,-1233303589.596395,-1233175235.7990537,-1233014059.0311213,-1232817888.1177979,-1232584679.59523,-1232312773.1494656,-1232000508.4648466,-1231646736.0831509,-1231250817.413828,-1230812369.3001566,-1230331391.7302017,-1229808395.5545807,-1229244402.5018082,-1228639923.4344387,-1227996107.7885246,-1227314104.5141697
14/04/21 12:31:36,-1229423312.0133176,-1229614119.857943,-1229801607.0917134,-1229988583.4100728,-1230176070.5892801,-1230363302.3517041,-1230549895.5508566,-1230734956.1811075,-1230917590.2265944,-1231097159.105291,-1231272896.519105,-1231444291.595253,-1231611216.6210804,-1231772905.3019066,-1231929102.1987815,-1232079551.8812814,-1232223871.2012131,-1232361804.7315629,-1232492586.1810596,-1232615576.9642653,-1232730393.934692,-1232836270.801068,-1232932441.2687123,-1233018011.3336983,-1233091576.1176124,-1233152369.3274784,-1233198730.659573,-1233229510.671022,-1233242921.3386276,-1233237685.5017455,-1233212015.1422935,-1233164122.2353694,-1233092218.757776,-1232994388.9651365,-1232869100.2629719,-1232714564.6280851,-1232529121.7448187,-1232311494.4474115,-1232060405.5701046,-1231774961.0953302,-1231454267.0004082,-1231098195.559043,-1230706619.0432358,-1230280303.7323189,-1229820399.0555286,-1229328820.7367811,-1228807995.352314,-1228262009.778675,-1227696100.3352938,-1227117291.3034077
14/04/21 12:46:36,-1229728811.1891162,-1229831622.3209035,-1229956911.2754228,-1230097526.321366,-1230248358.7632966,-1230406215.665502,-1230568542.6913466,-1230733296.3701582,-1230898944.1006389,-1231064081.0043736,-1231227302.1944232,-1231387969.08535,-1231545059.9503436,-1231697808.4879017,-1231845576.115997,-1231987724.259423,-1232123231.186253,-1232251713.7414744,-1232372661.071059,-1232484923.7304273,-1232587990.853616,-1232680840.717225,-1232762579.305393,-1232832440.325143,-1232889274.338716,-1232931804.185467,-1232958880.4208162,-1232969225.8858237,-1232961563.4215508,-1232934488.1512878,-1232886722.917801,-1232816607.4088414,-1232723119.8941894,-1232604727.784481,-1232460153.9156618,-1232288121.1202664,-1232087863.0967941,-1231858485.8327918,-1231599223.0233483,-1231309819.2295141,-1230990019.0106354,-1230640205.5029697,-1230261017.281724,-1229853220.6313486,-1229418348.1360922,-1228957804.665842,-1228473633.674221,-1227967495.4734755,-1227441178.0987406,-1226895575.328866
14/04/21 13:01:36,-1226974976.5744743,-1227858008.1381607,-1228539250.248478,-1229076044.182087,-1229509004.0311327,-1229866738.4583426,-1230170065.3714867,-1230433416.8239627,-1230667265.6302466,-1230878763.9632668,-1231072892.798985,-1231253100.5069485,-1231421686.0035982,-1231580054.187811,-1231728843.651843,-1231868565.2650685,-1231999474.4698467,-1232121315.8425744,-1232233706.2367632,-1232336262.5127451,-1232427962.942005,-1232508424.3746433,-1232576752.8067355,-1232631926.506355,-1232673306.8965902,-1232699616.8202069,-1232709962.2647533,-1232703066.0695853,-1232678034.2222517,-1232633589.5655181,-1232568582.6462789,-1232482374.887622,-1232373561.4145439,-1232241375.9238367,-1232084924.3996396,-1231903695.97258,-1231697179.778399,-1231464864.9409037,-1231207134.5997615,-1230924116.4676266,-1230616449.109476,-1230285409.675724,-1229932403.0311432,-1229559600.3317785,-1229169683.5911121,-1228766611.9832697,-1228354855.5364065,-1227940927.7186556,-1227533130.0145292,-1227142446.344884
