"Date Heure, GMT+01:00",Flux advectif (W/m2) pour la profondeur 6.6500 m,Flux advectif (W/m2) pour la profondeur 6.6678 m,Flux advectif (W/m2) pour la profondeur 6.6855 m,Flux advectif (W/m2) pour la profondeur 6.7033 m,Flux advectif (W/m2) pour la profondeur 6.7210 m,Flux advectif (W/m2) pour la profondeur 6.7388 m,Flux advectif (W/m2) pour la profondeur 6.7565 m,Flux advectif (W/m2) pour la profondeur 6.7743 m,Flux advectif (W/m2) pour la profondeur 6.7920 m,Flux advectif (W/m2) pour la profondeur 6.8098 m,Flux advectif (W/m2) pour la profondeur 6.8276 m,Flux advectif (W/m2) pour la profondeur 6.8453 m,Flux advectif (W/m2) pour la profondeur 6.8631 m,Flux advectif (W/m2) pour la profondeur 6.8808 m,Flux advectif (W/m2) pour la profondeur 6.8986 m,Flux advectif (W/m2) pour la profondeur 6.9163 m,Flux advectif (W/m2) pour la profondeur 6.9341 m,Flux advectif (W/m2) pour la profondeur 6.9518 m,Flux advectif (W/m2) pour la profondeur 6.9696 m,Flux advectif (W/m2) pour la profondeur 6.9873 m,Flux advectif (W/m2) pour la profondeur 7.0051 m,Flux advectif (W/m2) pour la profondeur 7.0229 m,Flux advectif (W/m2) pour la profondeur 7.0406 m,Flux advectif (W/m2) pour la profondeur 7.0584 m,Flux advectif (W/m2) pour la profondeur 7.0761 m,Flux advectif (W/m2) pour la profondeur 7.0939 m,Flux advectif (W/m2) pour la profondeur 7.1116 m,Flux advectif (W/m2) pour la profondeur 7.1294 m,Flux advectif (W/m2) pour la profondeur 7.1471 m,Flux advectif (W/m2) pour la profondeur 7.1649 m,Flux advectif (W/m2) pour la profondeur 7.1827 m,Flux advectif (W/m2) pour la profondeur 7.2004 m,Flux advectif (W/m2) pour la profondeur 7.2182 m,Flux advectif (W/m2) pour la profondeur 7.2359 m,Flux advectif (W/m2) pour la profondeur 7.2537 m,Flux advectif (W/m2) pour la profondeur 7.2714 m,Flux advectif (W/m2) pour la profondeur 7.2892 m,Flux advectif (W/m2) pour la profondeur 7.3069 m,Flux advectif (W/m2) pour la profondeur 7.3247 m,Flux advectif (W/m2) pour la profondeur 7.3424 m,Flux advectif (W/m2) pour la profondeur 7.3602 m,Flux advectif (W/m2) pour la profondeur 7.3780 m,Flux advectif (W/m2) pour la profondeur 7.3957 m,Flux advectif (W/m2) pour la profondeur 7.4135 m,Flux advectif (W/m2) pour la profondeur 7.4312 m,Flux advectif (W/m2) pour la profondeur 7.4490 m,Flux advectif (W/m2) pour la profondeur 7.4667 m,Flux advectif (W/m2) pour la profondeur 7.4845 m,Flux advectif (W/m2) pour la profondeur 7.5022 m,Flux advectif (W/m2) pour la profondeur 7.5200 m
17/05/18 12:15:00,-1205618958.4350586,-1232672158.355713,-1259725358.2763672,-1286778558.1970215,-1313831758.1176758,-1340884958.03833,-1367938285.6750488,-1394991485.5957031,-1422044685.5163574,-1449097885.4370117,-1476151085.357666,-1503204285.2783203,-1530257485.1989746,-1557310685.119629,-1584363885.0402832,-1611417084.9609375,-1638470284.8815918,-1665523484.802246,-1692576684.7229004,-1719629884.6435547,-1746683084.564209,-1773736284.4848633,-1800789484.4055176,-1827842684.3261719,-1854895884.2468262,-1881949211.883545,-1909002411.8041992,-1936055611.7248535,-1963108811.6455078,-1990162011.566162,-2017215211.4868164,-2044268411.4074707,-2071321611.328125,-2098374811.2487793,-2125428011.1694336,-2152481338.8061523,-2179534411.010742,-2206587738.647461,-2233640810.852051,-2260694138.4887695,-2287747210.6933594,-2314800538.330078,-2341853610.534668,-2368906938.1713867,-2395960010.3759766,-2423013338.0126953,-2450066410.217285,-2477119737.854004,-2504172810.0585938,-2531226137.6953125
17/05/18 12:30:00,-1205577195.2819824,-2006126264.1906738,-1150732596.5881348,-2012869289.2456055,-1093635980.5297852,-2022011843.7194824,-1034110077.2094727,-2033752653.8085938,-971975126.2664795,-2048255451.5075684,-907035338.973999,-2065731351.4709473,-839065615.7684326,-2086407177.4291992,-767842581.2530518,-2110508986.8164062,-693117636.1083984,-2138304600.2197266,-614621044.0063477,-2170081123.352051,-532062027.39715576,-2206126939.086914,-445136558.1893921,-2246757250.6713867,-353506603.88946533,-2292321489.2578125,-256814176.36871338,-2343190031.4331055,-154672551.38397217,-2399758541.5649414,-46670698.7285614,-2462462786.8652344,67639553.232193,-2531758202.819824,188739582.3097229,-2608145691.833496,317145872.26867676,-2692154253.845215,453414379.11987305,-2784363208.92334,598142351.0742188,-2885392490.8447266,751976542.2821045,-2995909543.762207,915607832.7941895,-3116633919.98291,1089782403.717041,-3248335747.3754883,1275301609.4970703,-3391846202.0874023
17/05/18 12:45:00,-1205543605.9570312,-1141564498.9013672,-1219340133.81958,-1149582896.5759277,-1233360675.6591797,-1157345223.5412598,-1247636521.911621,-1164824914.855957,-1262164990.5395508,-1172018905.3344727,-1276982352.9052734,-1178893094.7875977,-1292111981.048584,-1185415681.9152832,-1307584143.6767578,-1191575555.4199219,-1323422085.1135254,-1197334655.9143066,-1339655563.2019043,-1202660288.0859375,-1356328384.552002,-1207511965.9423828,-1373471073.3032227,-1211857632.7514648,-1391117346.496582,-1215656674.8046875,-1409325698.0895996,-1218861964.8742676,-1428130994.567871,-1221429824.066162,-1447583556.060791,-1223305206.7565918,-1467740982.5134277,-1224433705.9020996,-1488658319.5495605,-1224756699.8291016,-1510401468.6584473,-1224204583.2824707,-1533041439.9719238,-1222706856.994629,-1556651542.5109863,-1220187402.191162,-1581309044.494629,-1216563331.1462402,-1607105007.4768066,-1211741794.2810059,-1634133558.1970215,-1205626621.3989258,-1662496230.9265137,-1198111041.8701172
17/05/18 13:00:00,-1205581282.196045,-1229599948.425293,-1199786165.7714844,-1226034882.2021484,-1193901392.6696777,-1222563942.7185059,-1187924919.4335938,-1219210118.8659668,-1181854064.025879,-1215965364.5324707,-1175668647.3083496,-1212842834.4726562,-1169362028.0456543,-1209864751.2817383,-1162926287.8417969,-1207028432.9223633,-1156347377.9296875,-1204355207.977295,-1149608184.3566895,-1201857464.9047852,-1142702449.0356445,-1199545420.9899902,-1135615867.767334,-1197436701.0498047,-1128332731.47583,-1195543182.6782227,-1120833627.319336,-1193890281.3720703,-1113096843.5668945,-1192489236.1450195,-1105107182.006836,-1191367633.6669922,-1096843952.6367188,-1190545269.9279785,-1088280590.5151367,-1190045516.9677734,-1079392318.725586,-1189893023.9868164,-1070155190.5059814,-1190120103.149414,-1060535297.2412109,-1190755746.0021973,-1050503391.9525146,-1191835202.178955,-1040022628.5552979,-1193394487.6098633,-1029055139.2364502,-1195472044.8303223,-1017560885.0097656,-1198111041.8701172
17/05/18 13:15:00,-1205631602.3254395,-1192680299.3774414,-1208213638.0004883,-1194094371.6430664,-1210844333.4960938,-1195459017.791748,-1213521900.7873535,-1196759678.1921387,-1216250937.652588,-1198000695.1904297,-1219036552.734375,-1199174916.6870117,-1221880534.0576172,-1200277744.9035645,-1224799740.1428223,-1201298068.5424805,-1227791999.8168945,-1202242401.1230469,-1230865870.0561523,-1203088647.7661133,-1234026331.7871094,-1203840767.6696777,-1237286667.4804688,-1204483562.6220703,-1240646238.5559082,-1205012817.993164,-1244116922.6074219,-1205416911.6210938,-1247711491.241455,-1205686009.3688965,-1251441438.9038086,-1205811809.6923828,-1255316855.1635742,-1205780646.9726562,-1259344508.972168,-1205579366.4550781,-1263543174.5910645,-1205194430.2368164,-1267926134.4909668,-1204611789.5507812,-1272508203.7353516,-1203814330.444336,-1277306113.128662,-1202786088.4094238,-1282337998.3520508,-1201506628.8757324,-1287624804.840088,-1199955900.4211426,-1293187478.0273438,-1198111041.8701172
17/05/18 13:30:00,-1205656634.6740723,-1208224238.433838,-1204650232.0861816,-1207489232.4829102,-1203629014.4348145,-1206764826.965332,-1202603326.7211914,-1206063793.4875488,-1201566144.5617676,-1205380384.8266602,-1200521554.8706055,-1204705277.709961,-1199463682.7087402,-1204049711.151123,-1198390995.4833984,-1203414962.310791,-1197299150.8483887,-1202804479.522705,-1196186616.2109375,-1202218262.7868652,-1195053902.4353027,-1201661293.0297852,-1193898710.6323242,-1201128972.4731445,-1192719635.925293,-1200629985.8093262,-1191510931.0913086,-1200164205.3222656,-1190272979.2785645,-1199733419.0368652,-1189005908.203125,-1199338137.8173828,-1187704098.3581543,-1198987301.78833,-1186361291.6564941,-1198676313.1713867,-1184978509.8266602,-1198416410.9802246,-1183551793.6706543,-1198206190.3381348,-1182075395.9655762,-1198055868.5302734,-1180543697.2045898,-1197965062.4084473,-1178954398.4985352,-1197940030.0598145,-1177301497.1923828,-1197986646.4233398,-1175578479.7668457,-1198111041.8701172
17/05/18 13:45:00,-1205715256.3476562,-1201775982.055664,-1206253324.1271973,-1201965001.8310547,-1206804418.9453125,-1202133459.3200684,-1207369562.5305176,-1202294764.7094727,-1207944157.1044922,-1202432442.6269531,-1208535354.7668457,-1202553900.604248,-1209138685.4553223,-1202656584.3200684,-1209769475.0976562,-1202730148.7731934,-1210421593.322754,-1202785066.6809082,-1211096572.7233887,-1202811248.474121,-1211799521.9421387,-1202807927.8564453,-1212530057.8308105,-1202777020.5688477,-1213292778.1677246,-1202709458.770752,-1214090875.8544922,-1202604987.0300293,-1214918731.3842773,-1202467309.1125488,-1215784263.1530762,-1202284802.8564453,-1216695261.8408203,-1202056574.2492676,-1217650067.1386719,-1201780835.2661133,-1218651999.6643066,-1201451838.684082,-1219709360.961914,-1201067030.1818848,-1220822661.895752,-1200619896.2402344,-1222000076.2939453,-1200106988.5253906,-1223244030.7617188,-1199522304.3823242,-1224561805.114746,-1198858819.4274902,-1225959274.2919922,-1198111041.8701172
17/05/18 14:00:00,-1205581282.196045,-1204406677.5512695,-1205443093.4143066,-1204197734.0698242,-1205319208.831787,-1203981893.9208984,-1205199411.16333,-1203770012.9699707,-1205089319.9157715,-1203549319.6105957,-1204983698.7304688,-1203327349.0905762,-1204880376.4343262,-1203101419.3725586,-1204782035.0646973,-1202874851.0742188,-1204689057.7697754,-1202643940.4296875,-1204596080.4748535,-1202411497.1923828,-1204511532.4401855,-1202174839.3249512,-1204432859.3444824,-1201932689.666748,-1204360827.4841309,-1201687985.6872559,-1204295820.0073242,-1201435363.3117676,-1204240646.6674805,-1201173162.2314453,-1204190965.1184082,-1200912110.5957031,-1204150989.9902344,-1200640841.6748047,-1204118294.6777344,-1200358972.3205566,-1204099520.4162598,-1200069823.1506348,-1204091091.1560059,-1199770967.5598145,-1204093006.8969727,-1199462788.696289,-1204106417.0837402,-1199142476.8066406,-1204134514.61792,-1198811053.6193848,-1204175894.6228027,-1198467369.6899414,-1204231578.8269043,-1198111041.8701172
17/05/18 14:15:00,-1206037483.9782715,-1203560430.9082031,-1206200705.1086426,-1203520455.7800293,-1206371716.9189453,-1203471157.3791504,-1206551285.7055664,-1203418793.7927246,-1206728300.1708984,-1203362981.8725586,-1206919874.2675781,-1203291460.8764648,-1207118855.895996,-1203205507.965088,-1207340060.119629,-1203101547.088623,-1207576590.270996,-1202980599.975586,-1207829723.5107422,-1202847902.9846191,-1208089497.9858398,-1202704477.8442383,-1208367791.2902832,-1202541384.4299316,-1208663198.5473633,-1202359644.4702148,-1208977252.3498535,-1202159896.5454102,-1209308930.9692383,-1201944822.692871,-1209661682.7392578,-1201698713.83667,-1210046363.5253906,-1201428594.3603516,-1210454288.635254,-1201133953.3996582,-1210885074.9206543,-1200810448.6083984,-1211347023.9257812,-1200453737.6403809,-1211843839.416504,-1200064203.6437988,-1212374627.380371,-1199638270.5688477,-1212942836.151123,-1199173384.0942383,-1213552935.7910156,-1198665585.0219727,-1214207736.0534668,-1198111041.8701172
17/05/18 14:30:00,-1206297003.0212402,-1204258271.484375,-1206334679.260254,-1204136430.3588867,-1206378869.0185547,-1204020591.8884277,-1206434808.6547852,-1203885468.2922363,-1206503903.0456543,-1203743958.8928223,-1206575934.9060059,-1203590699.6154785,-1206662398.6816406,-1203436801.7578125,-1206752693.939209,-1203270515.4418945,-1206853078.7658691,-1203099631.3476562,-1206958699.9511719,-1202920573.425293,-1207083733.9782715,-1202722102.6611328,-1207221411.895752,-1202516224.3652344,-1207369817.9626465,-1202299362.487793,-1207532655.9448242,-1202062704.6203613,-1207716567.0776367,-1201809826.8127441,-1207914782.409668,-1201546476.2878418,-1208131133.4228516,-1201262180.3283691,-1208364087.524414,-1200957194.366455,-1208621179.9621582,-1200629347.229004,-1208903815.612793,-1200278000.3356934,-1209209823.3032227,-1199904175.415039,-1209541374.206543,-1199502125.2441406,-1209903066.1010742,-1199070572.6623535,-1210296431.5795898,-1198607601.928711,-1210722364.654541,-1198111041.8701172
