"Date Heure, GMT+01:00",Débit d'eau échangé (m/s)
17/05/18 12:15:00,-8.157849507028914e-09
17/05/18 12:30:00,9.647940224510876e-09
17/05/18 12:45:00,2.9350225361213234e-08
17/05/18 13:00:00,2.9148635505293896e-08
17/05/18 13:15:00,2.8944425523036443e-08
17/05/18 13:30:00,2.8751395930726176e-08
17/05/18 13:45:00,2.854799419083065e-08
17/05/18 14:00:00,2.8417236563882398e-08
17/05/18 14:15:00,2.8071156066289404e-08
17/05/18 14:30:00,2.7799943680406614e-08
17/05/18 14:45:00,2.7601677388133794e-08
17/05/18 15:00:00,2.7200307783914468e-08
17/05/18 15:15:00,2.5945949388983536e-08
17/05/18 15:30:00,2.4541394694210794e-08
17/05/18 15:45:00,2.33892230028232e-08
17/05/18 16:00:00,2.2302078406255532e-08
17/05/18 16:15:00,2.1247531734047698e-08
17/05/18 16:30:00,2.0274290690736052e-08
17/05/18 16:45:00,1.8876653129495935e-08
17/05/18 17:00:00,1.7936546470309622e-08
17/05/18 17:15:00,1.7081543290942136e-08
17/05/18 17:30:00,1.623610401679798e-08
17/05/18 17:45:00,1.533070914661039e-08
17/05/18 18:00:00,1.4586084340351135e-08
17/05/18 18:15:00,1.3620699235161737e-08
17/05/18 18:30:00,1.2761296019903057e-08
17/05/18 18:45:00,1.2063433807441015e-08
17/05/18 19:00:00,1.1061054294714268e-08
17/05/18 19:15:00,1.4983791984946038e-08
17/05/18 19:30:00,1.2583372566155049e-08
17/05/18 19:45:00,9.869437711529372e-09
17/05/18 20:00:00,9.166372549884727e-09
17/05/18 20:15:00,7.893885545229296e-09
17/05/18 20:30:00,6.826748943922212e-09
17/05/18 20:45:00,5.7517559604036705e-09
17/05/18 21:00:00,5.181763906847436e-09
17/05/18 21:15:00,4.357207039618061e-09
17/05/18 21:30:00,3.377017776529101e-09
17/05/18 21:45:00,2.6755297977132386e-09
17/05/18 22:00:00,1.9881416513101158e-09
17/05/18 22:15:00,1.3315711866468405e-09
17/05/18 22:30:00,8.494661640767731e-10
17/05/18 22:45:00,2.544974508911224e-10
17/05/18 23:00:00,-3.8136011015765803e-10
17/05/18 23:15:00,-9.612557416716072e-10
17/05/18 23:30:00,-1.6671076741303636e-09
17/05/18 23:45:00,-2.3847761543294155e-09
17/05/19 00:00:00,-3.004620552360393e-09
17/05/19 00:15:00,-3.5795812980410346e-09
17/05/19 00:30:00,-4.326623948003316e-09
17/05/19 00:45:00,-5.03650454675153e-09
17/05/19 01:00:00,-5.384630075155883e-09
17/05/19 01:15:00,-6.109751371496941e-09
17/05/19 01:30:00,-6.652652650984692e-09
17/05/19 01:45:00,-7.1110899391158e-09
17/05/19 02:00:00,-7.554958436628567e-09
17/05/19 02:15:00,-7.896134412987976e-09
17/05/19 02:30:00,-8.346011881599225e-09
17/05/19 02:45:00,-8.887603542007128e-09
17/05/19 03:00:00,-9.337044915014303e-09
17/05/19 03:15:00,-9.81062253657683e-09
17/05/19 03:30:00,-1.0230555957946308e-08
17/05/19 03:45:00,-1.0817332807278035e-08
17/05/19 04:00:00,-1.126177195942546e-08
17/05/19 04:15:00,-1.167535934598618e-08
17/05/19 04:30:00,-1.211063338502072e-08
17/05/19 04:45:00,-1.2389000048074195e-08
17/05/19 05:00:00,-1.2791542047807525e-08
17/05/19 05:15:00,-1.3049330505054968e-08
17/05/19 05:30:00,-1.3630501172201548e-08
17/05/19 05:45:00,-1.3733193249265696e-08
17/05/19 06:00:00,-1.404580185493387e-08
17/05/19 06:15:00,-1.4461370767548942e-08
17/05/19 06:30:00,-1.4713684493017354e-08
17/05/19 06:45:00,-1.4869318221144567e-08
17/05/19 07:00:00,-1.5209318249276293e-08
17/05/19 07:15:00,-1.5366797612159644e-08
17/05/19 07:30:00,-1.5517294116307312e-08
17/05/19 07:45:00,-1.5581580470325207e-08
17/05/19 08:00:00,-1.5886131521369862e-08
17/05/19 08:15:00,-1.5981841627876747e-08
17/05/19 08:30:00,-1.6132371882804364e-08
17/05/19 08:45:00,-1.619860690027508e-08
17/05/19 09:00:00,-1.634906787728596e-08
17/05/19 09:15:00,-1.6527160084933712e-08
17/05/19 09:30:00,-1.6623472376409154e-08
17/05/19 09:45:00,-1.672925442619544e-08
17/05/19 10:00:00,-1.680519012836612e-08
17/05/19 10:15:00,-1.6718040285468305e-08
17/05/19 10:30:00,-1.6724284179758797e-08
17/05/19 10:45:00,-1.6614610132137386e-08
17/05/19 11:00:00,-1.6629247312494044e-08
17/05/19 11:15:00,-1.665801718786497e-08
17/05/19 11:30:00,-1.6674567504537663e-08
17/05/19 11:45:00,-1.6662481172602384e-08
17/05/19 12:00:00,-1.680801098302709e-08
17/05/19 12:15:00,-1.6785417500386757e-08
17/05/19 12:30:00,-1.67178733079254e-08
17/05/19 12:45:00,-1.6584026596433432e-08
17/05/19 13:00:00,-1.6373844502481916e-08
17/05/19 13:15:00,-1.6224623422544937e-08
17/05/19 13:30:00,-1.6035990313412185e-08
17/05/19 13:45:00,-1.5997720481664146e-08
17/05/19 14:00:00,-1.575809527309957e-08
17/05/19 14:15:00,-1.5603268010977445e-08
17/05/19 14:30:00,-1.572438890207195e-08
17/05/19 14:45:00,-1.5706731915088312e-08
17/05/19 15:00:00,-1.5696292265943157e-08
17/05/19 15:15:00,-1.5707671607856355e-08
17/05/19 15:30:00,-1.5636972605648225e-08
17/05/19 15:45:00,-1.5568353717299033e-08
17/05/19 16:00:00,-1.551185491166507e-08
17/05/19 16:15:00,-1.5258901697734473e-08
17/05/19 16:30:00,-1.4973251083461037e-08
17/05/19 16:45:00,-1.5068357228642526e-08
17/05/19 17:00:00,-1.4824802718749197e-08
17/05/19 17:15:00,-1.51505368251037e-08
17/05/19 17:30:00,-1.5416784293620367e-08
17/05/19 17:45:00,-1.544384176099811e-08
17/05/19 18:00:00,-1.5412554787985755e-08
17/05/19 18:15:00,-1.5621093751860826e-08
17/05/19 18:30:00,-1.5559290744704413e-08
17/05/19 18:45:00,-1.554374762235966e-08
17/05/19 19:00:00,-1.550272443751055e-08
17/05/19 19:15:00,-1.553975259582785e-08
17/05/19 19:30:00,-1.552491468714834e-08
17/05/19 19:45:00,-1.5593700553040435e-08
17/05/19 20:00:00,-1.5864982216839962e-08
17/05/19 20:15:00,-1.596743892662289e-08
17/05/19 20:30:00,-1.609796207446834e-08
17/05/19 20:45:00,-1.6239596334344242e-08
17/05/19 21:00:00,-1.6288071336134635e-08
17/05/19 21:15:00,-1.6373340017139526e-08
17/05/19 21:30:00,-1.6624177590074396e-08
17/05/19 21:45:00,-1.674285066144421e-08
17/05/19 22:00:00,-1.6967906191212023e-08
17/05/19 22:15:00,-1.70859735248996e-08
17/05/19 22:30:00,-1.7216695624711065e-08
17/05/19 22:45:00,-1.731818066730284e-08
17/05/19 23:00:00,-1.7553574593875965e-08
17/05/19 23:15:00,-1.7850608102776278e-08
17/05/19 23:30:00,-1.8062536355500924e-08
17/05/19 23:45:00,-1.8174024063455363e-08
17/05/20 00:00:00,-1.8331737905441514e-08
17/05/20 00:15:00,-1.843194574746576e-08
17/05/20 00:30:00,-1.8493480524739425e-08
17/05/20 00:45:00,-1.8565623705057988e-08
17/05/20 01:00:00,-1.8642969834559153e-08
17/05/20 01:15:00,-1.8832071901897507e-08
17/05/20 01:30:00,-1.8909384280618724e-08
17/05/20 01:45:00,-1.8972730941868576e-08
