"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 6.6500 m,Flux d'énergie total (W/m2) pour la profondeur 6.6678 m,Flux d'énergie total (W/m2) pour la profondeur 6.6855 m,Flux d'énergie total (W/m2) pour la profondeur 6.7033 m,Flux d'énergie total (W/m2) pour la profondeur 6.7210 m,Flux d'énergie total (W/m2) pour la profondeur 6.7388 m,Flux d'énergie total (W/m2) pour la profondeur 6.7565 m,Flux d'énergie total (W/m2) pour la profondeur 6.7743 m,Flux d'énergie total (W/m2) pour la profondeur 6.7920 m,Flux d'énergie total (W/m2) pour la profondeur 6.8098 m,Flux d'énergie total (W/m2) pour la profondeur 6.8276 m,Flux d'énergie total (W/m2) pour la profondeur 6.8453 m,Flux d'énergie total (W/m2) pour la profondeur 6.8631 m,Flux d'énergie total (W/m2) pour la profondeur 6.8808 m,Flux d'énergie total (W/m2) pour la profondeur 6.8986 m,Flux d'énergie total (W/m2) pour la profondeur 6.9163 m,Flux d'énergie total (W/m2) pour la profondeur 6.9341 m,Flux d'énergie total (W/m2) pour la profondeur 6.9518 m,Flux d'énergie total (W/m2) pour la profondeur 6.9696 m,Flux d'énergie total (W/m2) pour la profondeur 6.9873 m,Flux d'énergie total (W/m2) pour la profondeur 7.0051 m,Flux d'énergie total (W/m2) pour la profondeur 7.0229 m,Flux d'énergie total (W/m2) pour la profondeur 7.0406 m,Flux d'énergie total (W/m2) pour la profondeur 7.0584 m,Flux d'énergie total (W/m2) pour la profondeur 7.0761 m,Flux d'énergie total (W/m2) pour la profondeur 7.0939 m,Flux d'énergie total (W/m2) pour la profondeur 7.1116 m,Flux d'énergie total (W/m2) pour la profondeur 7.1294 m,Flux d'énergie total (W/m2) pour la profondeur 7.1471 m,Flux d'énergie total (W/m2) pour la profondeur 7.1649 m,Flux d'énergie total (W/m2) pour la profondeur 7.1827 m,Flux d'énergie total (W/m2) pour la profondeur 7.2004 m,Flux d'énergie total (W/m2) pour la profondeur 7.2182 m,Flux d'énergie total (W/m2) pour la profondeur 7.2359 m,Flux d'énergie total (W/m2) pour la profondeur 7.2537 m,Flux d'énergie total (W/m2) pour la profondeur 7.2714 m,Flux d'énergie total (W/m2) pour la profondeur 7.2892 m,Flux d'énergie total (W/m2) pour la profondeur 7.3069 m,Flux d'énergie total (W/m2) pour la profondeur 7.3247 m,Flux d'énergie total (W/m2) pour la profondeur 7.3424 m,Flux d'énergie total (W/m2) pour la profondeur 7.3602 m,Flux d'énergie total (W/m2) pour la profondeur 7.3780 m,Flux d'énergie total (W/m2) pour la profondeur 7.3957 m,Flux d'énergie total (W/m2) pour la profondeur 7.4135 m,Flux d'énergie total (W/m2) pour la profondeur 7.4312 m,Flux d'énergie total (W/m2) pour la profondeur 7.4490 m,Flux d'énergie total (W/m2) pour la profondeur 7.4667 m,Flux d'énergie total (W/m2) pour la profondeur 7.4845 m,Flux d'énergie total (W/m2) pour la profondeur 7.5022 m,Flux d'énergie total (W/m2) pour la profondeur 7.5200 m
17/05/18 12:45:00,-1205543612.5876951,-1205392013.621982,-1205240286.940205,-1205088560.2528415,-1204936961.2843356,-1204785234.6025586,-1204633507.915195,-1204481908.9466891,-1204330182.2649121,-1204178455.5775485,-1204026856.6090426,-1203875129.9272656,-1203723403.239902,-1203571804.2713962,-1203420077.5896192,-1203268350.9022555,-1203116751.9337497,-1202965025.2519727,-1202813298.564609,-1202661699.5961032,-1202509972.9143262,-1202358246.2269626,-1202206647.2584567,-1202054920.5766797,-1201903193.889316,-1201751594.9208102,-1201599868.2390332,-1201448141.5516696,-1201296542.5831637,-1201144815.9013867,-1200993089.214023,-1200841490.2455173,-1200689763.5637403,-1200538036.8763766,-1200386437.9078708,-1200234711.2260938,-1200082984.5415235,-1199931257.8541598,-1199779658.885654,-1199627932.203877,-1199476205.5165133,-1199324606.5480075,-1199172879.8662305,-1199021153.1788669,-1198869554.210361,-1198717827.528584,-1198566100.8412204,-1198414501.8727145,-1198262775.1909375,-1198111048.5063672
17/05/18 13:00:00,-1205581417.3789215,-1202490548.1099625,-1205824836.5885122,-1202497061.6096983,-1206069285.2671483,-1202497572.1751013,-1206327399.8635352,-1202478414.715159,-1206587813.1172607,-1202450189.059925,-1206866745.0187845,-1202421197.3205743,-1207154489.7532969,-1202372026.426283,-1207451812.9077535,-1202315703.273178,-1207765994.811747,-1202241755.2556977,-1208099206.400965,-1202150565.6784444,-1208446466.720963,-1202043794.7161903,-1208808925.1772194,-1201924890.7333994,-1209186326.533117,-1201788361.7856827,-1209585439.6339371,-1201633569.4184055,-1210007286.4232588,-1201450041.0371761,-1210447268.636773,-1201249526.285308,-1210911517.0673227,-1201024489.9987898,-1211402330.4672093,-1200773655.0532885,-1211920347.4474778,-1200494339.3667593,-1212468249.9896216,-1200186415.2398968,-1213047953.926777,-1199845540.3516474,-1213660225.4743328,-1199471076.046277,-1214309279.3378296,-1199058935.4460316,-1214997669.8050375,-1198606564.2240381,-1215728206.6377554,-1198111812.4124756
17/05/18 13:15:00,-1205631685.0383606,-1203740510.6037705,-1205629561.6502705,-1203613305.1047206,-1205641183.7255518,-1203490059.1025233,-1205652806.1639276,-1203354168.8943324,-1205678860.3751414,-1203212148.5831788,-1205707085.8600006,-1203059400.008097,-1205742718.812358,-1202898860.6637063,-1205789846.1658278,-1202732574.2276878,-1205842465.3184483,-1202560157.3563356,-1205903513.7899761,-1202378928.13519,-1205970309.4117856,-1202192206.9975867,-1206048599.6804943,-1201990798.4902267,-1206139405.9252143,-1201783770.5989242,-1206237109.0329266,-1201562182.9142783,-1206349116.2281365,-1201331144.341412,-1206470829.9643455,-1201085162.8130436,-1206610296.2279272,-1200824493.9903305,-1206765088.4052782,-1200549776.3949418,-1206935461.9704227,-1200259732.841095,-1207122821.8335862,-1199951553.6144753,-1207326784.7571988,-1199626515.7640052,-1207552076.344572,-1199280915.6522956,-1207797547.084095,-1198914114.6431632,-1208064601.8608541,-1198525090.9745765,-1208356178.1834364,-1198111489.9733887
17/05/18 13:30:00,-1205656738.351509,-1203286222.2023966,-1205762512.8751545,-1203213807.045821,-1205875158.608791,-1203133856.5241349,-1205999937.471893,-1203041645.3468456,-1206132890.146362,-1202937939.7265484,-1206273888.7708955,-1202830147.1726377,-1206423827.5171475,-1202718395.5128992,-1206578491.900229,-1202596170.9627068,-1206745800.1038654,-1202466666.6973903,-1206921154.4474928,-1202328605.4836857,-1207103277.8263273,-1202178155.5240464,-1207305325.0871778,-1202007271.1309533,-1207521037.841238,-1201821699.3792763,-1207750926.9052844,-1201629358.6538386,-1207996014.5468884,-1201413518.133439,-1208258088.1960359,-1201184650.5437422,-1208538553.0785646,-1200937264.1135273,-1208837919.947012,-1200670975.669464,-1209157849.1856275,-1200381953.7491698,-1209499106.9567313,-1200072497.155221,-1209866418.9446363,-1199736220.1933231,-1210259529.5412502,-1199374783.1276245,-1210680226.8720264,-1198985248.47468,-1211130937.5421896,-1198564678.7677984,-1211613960.4213467,-1198111632.4628296
17/05/18 13:45:00,-1205715353.0369263,-1203504617.5607965,-1205780521.2005439,-1203415727.0570436,-1205851403.8285859,-1203317130.12122,-1205928416.841687,-1203208188.1730037,-1206012070.9337296,-1203096053.4125533,-1206098279.4587827,-1202975616.8900566,-1206197004.2614944,-1202842153.3122275,-1206309011.4846349,-1202697961.7804966,-1206425361.0372083,-1202543808.2113984,-1206554482.196227,-1202379692.8423405,-1206693948.2754683,-1202209319.3135052,-1206847080.0965002,-1202027068.274467,-1207010046.012599,-1201834855.3097825,-1207186166.864884,-1201624378.9255366,-1207376464.0718431,-1201401514.063488,-1207581831.8274755,-1201163834.151928,-1207801631.5738034,-1200907890.7146711,-1208041738.1157255,-1200636365.9845843,-1208299086.404554,-1200345683.724729,-1208579168.191957,-1200034056.1140943,-1208878151.9485202,-1199701866.1081538,-1209201018.7096858,-1199344515.990035,-1209549939.5591717,-1198961494.9401684,-1209925042.2381802,-1198551142.5743027,-1210329902.8132734,-1198111576.300537
17/05/18 14:00:00,-1205581381.0359497,-1203321472.4646184,-1205658424.587066,-1203235136.2793617,-1205741312.4469616,-1203142669.48281,-1205840931.2369874,-1203038325.4050841,-1205942976.431139,-1202931299.1782835,-1206052556.8675075,-1202821846.4496002,-1206164947.289116,-1202699366.5538635,-1206286022.327695,-1202567307.8862598,-1206418847.115724,-1202431545.39134,-1206566231.7892673,-1202280457.0413048,-1206724855.40107,-1202117491.0833106,-1206895356.5537999,-1201945074.181235,-1207075691.8714223,-1201761929.0543342,-1207269309.7211952,-1201565246.058117,-1207474677.5243092,-1201351576.6381946,-1207700352.1732922,-1201121304.1773744,-1207944162.495049,-1200874811.8154716,-1208204320.534502,-1200609289.670588,-1208484913.1470604,-1200324610.1663108,-1208783641.4631162,-1200019751.3814058,-1209107019.091332,-1199689604.801773,-1209455684.444449,-1199336724.7710476,-1209829254.5195122,-1198957024.3025475,-1210230666.724555,-1198549226.2635574,-1210661581.3907623,-1198111590.807495
17/05/18 14:15:00,-1206037586.9071808,-1203684185.8334994,-1206126248.5953975,-1203594912.4832008,-1206206837.476756,-1203503595.365844,-1206293429.3706522,-1203393886.889419,-1206397262.6930485,-1203276771.1912827,-1206504161.206578,-1203151992.2974575,-1206624725.2663848,-1203022871.160783,-1206754229.6015272,-1202882511.1528814,-1206886160.5865831,-1202728868.389387,-1207033545.0897508,-1202567690.528914,-1207189486.7256472,-1202391825.18417,-1207360243.4306064,-1202201017.0459194,-1207546453.6508842,-1202001141.095024,-1207746840.5246916,-1201784406.6012754,-1207962425.5319643,-1201554389.6647549,-1208191931.662881,-1201307769.542099,-1208439828.9601464,-1201042119.7146673,-1208706628.1707115,-1200760377.6379771,-1208993478.8760142,-1200459222.688767,-1209301785.9974527,-1200133290.811881,-1209632060.2344956,-1199784753.1077952,-1209988133.2059355,-1199409522.7266874,-1210370898.8460178,-1199007088.767991,-1210782911.5151339,-1198575152.3509245,-1211226342.3947601,-1198111615.5091553
17/05/18 14:30:00,-1206297108.988968,-1203874227.3262334,-1206386278.910407,-1203766307.204289,-1206477723.5231786,-1203662473.7785501,-1206581301.402274,-1203551743.8892226,-1206687689.1548874,-1203428625.3126142,-1206807359.2106225,-1203300781.4427197,-1206931116.264211,-1203164380.4791992,-1207064324.3903596,-1203015590.9848077,-1207210303.9190624,-1202863736.4026256,-1207364585.2349489,-1202697705.2562914,-1207530871.760344,-1202522095.399537,-1207709419.148028,-1202331414.9661794,-1207903931.0270095,-1202126430.4146008,-1208110703.6034908,-1201909184.997941,-1208335356.6356797,-1201670227.8726687,-1208576868.0347595,-1201416583.366468,-1208836770.5834303,-1201146591.1621218,-1209116980.173482,-1200851694.255381,-1209420689.4048786,-1200537129.2115731,-1209741640.3468723,-1200200979.9433956,-1210089411.7238474,-1199840436.9264574,-1210463109.509388,-1199453328.9290123,-1210864521.7200184,-1199037867.8982248,-1211296713.5775938,-1198590605.5394583,-1211760962.1785183,-1198111638.892395
17/05/18 14:45:00,-1206364034.5137863,-1203888403.9043508,-1206448859.4272738,-1203796703.6276288,-1206540304.3305209,-1203695807.7803009,-1206638901.3920307,-1203583034.439528,-1206740052.5765243,-1203467451.1163085,-1206854230.9280717,-1203343183.1984622,-1206976966.4765873,-1203200140.8850758,-1207114389.0289717,-1203054033.6989625,-1207252194.8189263,-1202900774.080868,-1207405582.1139822,-1202733721.1613297,-1207573018.245954,-1202549681.9744956,-1207755907.8988314,-1202354276.2031631,-1207947609.9685345,-1202147120.3723536,-1208156426.0634933,-1201924894.1325226,-1208378396.8795743,-1201689129.8585868,-1208619525.2421823,-1201433569.6700726,-1208876362.6555805,-1201159362.8048763,-1209154911.811108,-1200865998.54677,-1209454406.4486876,-1200551305.6416597,-1209777784.0126638,-1200214262.4280639,-1210124916.8623848,-1199850398.7766924,-1210498742.3528185,-1199460481.0090694,-1210901048.5758991,-1199042210.2611742,-1211332474.1091566,-1198593415.3012552,-1211796339.589818,-1198111640.4397583
17/05/18 15:00:00,-1206577450.3086777,-1204050347.7176673,-1206669425.20465,-1203952517.0642655,-1206768277.541879,-1203849960.9025137,-1206874537.6929426,-1203729779.9043162,-1206989098.9748268,-1203610876.1701052,-1207107236.5187862,-1203483543.061126,-1207234186.5912933,-1203342288.6581275,-1207381060.2972362,-1203190434.129013,-1207533808.9002485,-1203029894.7846224,-1207698052.125023,-1202852624.672098,-1207872129.23818,-1202669990.4178333,-1208059105.838636,-1202474456.7600613,-1208262685.5693665,-1202264108.1281896,-1208478781.5470314,-1202035623.678307,-1208713651.7666206,-1201789897.6993747,-1208960910.3467054,-1201531399.9268641,-1209229114.5652518,-1201250807.238893,-1209519924.5411716,-1200947481.1165876,-1209832190.7824035,-1200622954.121996,-1210166168.785315,-1200275821.280654,-1210526584.1224976,-1199901101.7665977,-1210913564.3647766,-1199500455.8886642,-1211327237.3511105,-1199069924.3231688,-1211773477.9729824,-1198607719.1597233,-1212252924.8330584,-1198111660.4099731
