"Date Heure, GMT+01:00",Température (K) pour la profondeur 6.6500 m,Température (K) pour la profondeur 6.6678 m,Température (K) pour la profondeur 6.6855 m,Température (K) pour la profondeur 6.7033 m,Température (K) pour la profondeur 6.7210 m,Température (K) pour la profondeur 6.7388 m,Température (K) pour la profondeur 6.7565 m,Température (K) pour la profondeur 6.7743 m,Température (K) pour la profondeur 6.7920 m,Température (K) pour la profondeur 6.8098 m,Température (K) pour la profondeur 6.8276 m,Température (K) pour la profondeur 6.8453 m,Température (K) pour la profondeur 6.8631 m,Température (K) pour la profondeur 6.8808 m,Température (K) pour la profondeur 6.8986 m,Température (K) pour la profondeur 6.9163 m,Température (K) pour la profondeur 6.9341 m,Température (K) pour la profondeur 6.9518 m,Température (K) pour la profondeur 6.9696 m,Température (K) pour la profondeur 6.9873 m,Température (K) pour la profondeur 7.0051 m,Température (K) pour la profondeur 7.0229 m,Température (K) pour la profondeur 7.0406 m,Température (K) pour la profondeur 7.0584 m,Température (K) pour la profondeur 7.0761 m,Température (K) pour la profondeur 7.0939 m,Température (K) pour la profondeur 7.1116 m,Température (K) pour la profondeur 7.1294 m,Température (K) pour la profondeur 7.1471 m,Température (K) pour la profondeur 7.1649 m,Température (K) pour la profondeur 7.1827 m,Température (K) pour la profondeur 7.2004 m,Température (K) pour la profondeur 7.2182 m,Température (K) pour la profondeur 7.2359 m,Température (K) pour la profondeur 7.2537 m,Température (K) pour la profondeur 7.2714 m,Température (K) pour la profondeur 7.2892 m,Température (K) pour la profondeur 7.3069 m,Température (K) pour la profondeur 7.3247 m,Température (K) pour la profondeur 7.3424 m,Température (K) pour la profondeur 7.3602 m,Température (K) pour la profondeur 7.3780 m,Température (K) pour la profondeur 7.3957 m,Température (K) pour la profondeur 7.4135 m,Température (K) pour la profondeur 7.4312 m,Température (K) pour la profondeur 7.4490 m,Température (K) pour la profondeur 7.4667 m,Température (K) pour la profondeur 7.4845 m,Température (K) pour la profondeur 7.5022 m,Température (K) pour la profondeur 7.5200 m
17/05/18 12:45:00,288.063,288.02676,287.9905,287.95425,287.91803,287.88177,287.84552,287.8093,287.77304,287.7368,287.70056,287.6643,287.62805,287.59183,287.55557,287.51932,287.4831,287.44684,287.41058,287.37436,287.3381,287.30185,287.26562,287.22937,287.1931,287.1569,287.12064,287.08438,287.04816,287.0119,286.97565,286.93942,286.90317,286.8669,286.8307,286.79443,286.75818,286.72192,286.6857,286.64944,286.6132,286.57697,286.5407,286.50446,286.46823,286.43198,286.39572,286.3595,286.32324,286.287
17/05/18 13:00:00,288.072,288.03336,287.9954,287.95792,287.92078,287.88388,287.8472,287.81064,287.77417,287.7378,287.70142,287.66507,287.62878,287.59247,287.5562,287.51996,287.4837,287.44748,287.41122,287.37497,287.3387,287.30246,287.2662,287.22995,287.1937,287.15744,287.1212,287.08493,287.04868,287.01242,286.97617,286.9399,286.9037,286.86743,286.83118,286.79492,286.75867,286.7224,286.68616,286.64993,286.61368,286.57742,286.54117,286.50488,286.4686,286.43234,286.39606,286.35974,286.3234,286.287
17/05/18 13:15:00,288.084,288.0436,288.0039,287.96487,287.92642,287.88846,287.8509,287.8136,287.77655,287.73965,287.70294,287.66635,287.62985,287.59344,287.55704,287.5207,287.48438,287.4481,287.4118,287.37555,287.3393,287.30304,287.26675,287.2305,287.19424,287.15796,287.12167,287.08545,287.0492,287.01294,286.97668,286.94043,286.90417,286.86792,286.8317,286.79544,286.7592,286.72293,286.68668,286.6504,286.6141,286.57782,286.54153,286.50525,286.46893,286.4326,286.39624,286.35983,286.32343,286.287
17/05/18 13:30:00,288.09,288.0501,288.01038,287.97104,287.9321,287.89355,287.85538,287.8175,287.77994,287.74258,287.70544,287.66846,287.63165,287.59494,287.55832,287.52182,287.48538,287.44897,287.41263,287.3763,287.34,287.3037,287.26743,287.23114,287.19485,287.15857,287.12228,287.08603,287.04977,287.0135,286.97723,286.94098,286.90472,286.86847,286.83218,286.79593,286.75964,286.72336,286.6871,286.6508,286.6145,286.5782,286.5419,286.50552,286.46915,286.43277,286.39636,286.35992,286.32346,286.287
17/05/18 13:45:00,288.104,288.06155,288.02,287.97925,287.93918,287.89975,287.86078,287.82224,287.78403,287.74615,287.70856,287.6712,287.634,287.597,287.56012,287.5234,287.4868,287.45023,287.41376,287.37732,287.3409,287.30453,287.26816,287.2318,287.1955,287.15918,287.1229,287.0866,287.05035,287.0141,286.9778,286.94153,286.90524,286.86896,286.8327,286.7964,286.7601,286.7238,286.6875,286.65118,286.61484,286.57852,286.54218,286.50583,286.46945,286.433,286.39658,286.36008,286.32358,286.287
17/05/18 14:00:00,288.072,288.04138,288.0079,287.97256,287.93613,287.899,287.8615,287.82382,287.78616,287.74854,287.711,287.67355,287.63626,287.5991,287.56207,287.52518,287.48837,287.4517,287.41507,287.3785,287.34198,287.30554,287.26913,287.2327,287.1963,287.15994,287.1236,287.08728,287.05093,287.01462,286.97833,286.94205,286.90573,286.86945,286.83313,286.7968,286.7605,286.72418,286.68787,286.65152,286.61517,286.57883,286.54248,286.50607,286.46964,286.4332,286.3967,286.36017,286.32358,286.287
17/05/18 14:15:00,288.181,288.1147,288.05722,288.0061,287.95923,287.91528,287.87326,287.8326,287.7929,287.75388,287.71533,287.67722,287.6394,287.60187,287.56448,287.5273,287.4903,287.45337,287.41656,287.37985,287.3432,287.30664,287.2701,287.23364,287.1972,287.16077,287.12436,287.088,287.05164,287.0153,286.97894,286.9426,286.90628,286.86993,286.8336,286.79724,286.7609,286.72455,286.6882,286.65186,286.61548,286.57907,286.54263,286.5062,286.46976,286.43326,286.39676,286.3602,286.3236,286.287
17/05/18 14:30:00,288.243,288.1782,288.11523,288.05618,288.00095,287.94922,287.9005,287.85428,287.81006,287.76743,287.7261,287.6858,287.6463,287.6074,287.56903,287.53107,287.4934,287.45602,287.41885,287.38184,287.34494,287.30817,287.27148,287.23486,287.1983,287.16177,287.12527,287.08884,287.0524,287.016,286.9796,286.9432,286.90683,286.87048,286.8341,286.79773,286.76135,286.72498,286.68863,286.65222,286.6158,286.57938,286.54294,286.50647,286.46994,286.4334,286.39685,286.36026,286.32364,286.287
17/05/18 14:45:00,288.259,288.201,288.14288,288.08618,288.03128,287.9783,287.92734,287.87833,287.83115,287.78564,287.7416,287.69888,287.65726,287.61658,287.57663,287.5374,287.49872,287.46048,287.4226,287.385,287.34766,287.3105,287.27347,287.23657,287.1998,287.1631,287.12643,287.08987,287.05338,287.01688,286.9804,286.94394,286.90753,286.8711,286.8347,286.79828,286.76184,286.72543,286.689,286.65256,286.61612,286.57965,286.54318,286.50665,286.47015,286.4336,286.397,286.36038,286.3237,286.287
17/05/18 15:00:00,288.31,288.24475,288.1802,288.11926,288.06134,288.00598,287.95288,287.90176,287.85248,287.80487,287.7588,287.71405,287.67056,287.62814,287.5867,287.54605,287.50613,287.4668,287.42798,287.3896,287.35156,287.31384,287.27634,287.23904,287.20193,287.16492,287.12805,287.0913,287.0546,287.01794,286.98135,286.94482,286.9083,286.8718,286.8353,286.7988,286.76233,286.72586,286.68942,286.65292,286.61642,286.57993,286.5434,286.50693,286.47034,286.43375,286.39713,286.36044,286.32373,286.287
